"filename", "language", "C#", "C++", "C", "Python", "XML", "HTML", "CSS", "Java", "JavaScript", "Draw.io", "JSON", "Objective-C", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest2.cpp", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 69
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest3.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 74
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest4.cpp", "C++", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 69
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest4_2.cpp", "C++", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 33, 246
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest4_3.cpp", "C++", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 207
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest6_1.cpp", "C++", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 167
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest6_3.cpp", "C++", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 54
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest7_1.cpp", "C++", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 93
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest7_3.cpp", "C++", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 83
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest8_1.cpp", "C++", 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43, 262
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Altest8_1plus.cpp", "C++", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45, 274
